timestamp,tag,sample_index,repeat_index,folder,gamma,dt,cell_w,cell_h,cell_d,base_density,ppc,grid_x,grid_y,grid_z,steps,predicted_events,predicted_events_ran,measured_He4_final,E_rel_keV,v_rel,sigma_m2,volume,total_time,he4_file
20250923_193417,auto,1,1,auto_s1_ppc1_r1_20250923_193417,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,278998399356.7087,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r1_20250923_193417/simOutput/He4_energyHistogram_all.dat
20250923_193828,auto,1,2,auto_s1_ppc1_r2_20250923_193828,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279150535380.2564,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r2_20250923_193828/simOutput/He4_energyHistogram_all.dat
20250923_193954,auto,1,3,auto_s1_ppc1_r3_20250923_193954,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279127615523.6337,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r3_20250923_193954/simOutput/He4_energyHistogram_all.dat
20250923_194119,auto,1,4,auto_s1_ppc1_r4_20250923_194119,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279021700342.1674,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r4_20250923_194119/simOutput/He4_energyHistogram_all.dat
20250923_194244,auto,1,5,auto_s1_ppc1_r5_20250923_194244,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279033011804.5054,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r5_20250923_194244/simOutput/He4_energyHistogram_all.dat
20250923_194410,auto,1,6,auto_s1_ppc1_r6_20250923_194410,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279127658257.0753,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r6_20250923_194410/simOutput/He4_energyHistogram_all.dat
20250923_194535,auto,1,7,auto_s1_ppc1_r7_20250923_194535,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279079656819.5813,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r7_20250923_194535/simOutput/He4_energyHistogram_all.dat
20250923_194701,auto,1,8,auto_s1_ppc1_r8_20250923_194701,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279320295430.7024,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r8_20250923_194701/simOutput/He4_energyHistogram_all.dat
20250923_194826,auto,1,9,auto_s1_ppc1_r9_20250923_194826,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279171972833.5429,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r9_20250923_194826/simOutput/He4_energyHistogram_all.dat
20250923_194952,auto,1,10,auto_s1_ppc1_r10_20250923_194952,1.00019443,8.956844e-16,6.405134e-06,3.400977e-07,8.956844e-16,5.633842e+28,1,128,128,128,200,279074872862.3095,,279227090810.7156,874.7327149396614,11817129.037206106,1.3168760224732798e-29,3.154056542000492e-12,1.7913688064055075e-13,/home/optolo43/../optolo43/auto_s1_ppc1_r10_20250923_194952/simOutput/He4_energyHistogram_all.dat
